,Harsh Acceleration,Harsh Breaking,Battery level,vehicle distance,Torque,TCO Vehicle Speed,Fuel Rate Avg,Total Fuel consumption,Fuel Primary Tank,Battery Voltage,Transmission current gear,Catalyst tank level,coolant temperature,Engine on,Engine Oil Pressure,Oil Temperature,Engine speed,break pedal,Malfunction lamp status,Amber warning lamp status,Red stop lamp status,DTC,time
3438,-,-,100 %,18809.17 Km,13 %,0 Km/h,1.48 Km/L,12734 L,79.6 %,0 VDC,000,46.8 %,98 °C,1505.65 H,2.12 BAR,99 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:16:02
3439,-,-,100 %,18809.17 Km,11 %,0 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,004,0 %,0 °C,1505.65 H,0 BAR,0 °C,549 Rpm,Off,Not,Not,Not,,2023-11-01 22:16:22
3440,-,-,100 %,18809.17 Km,13 %,0 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,004,0 %,0 °C,1505.65 H,0 BAR,0 °C,544 Rpm,Off,Not,Not,Not,,2023-11-01 22:16:42
3441,-,-,100 %,18809.17 Km,72 %,12.8 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,006,0 %,0 °C,1505.65 H,0 BAR,0 °C,2001 Rpm,Off,Not,Not,Not,,2023-11-01 22:17:02
3442,-,-,100 %,18809.17 Km,8 %,35.6 Km/h,1.48 Km/L,12734 L,0 %,0 VDC,012,0 %,0 °C,1505.65 H,0 BAR,0 °C,1816 Rpm,Off,Not,Not,Not,,2023-11-01 22:17:22
3443,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:17:22
3444,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:17:42
3445,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:18:02
3446,-,-,100 %,18809.57 Km,0 %,43.4 Km/h,1.48 Km/L,12734.5 L,0 %,28.3 VDC,000,0 %,0 °C,1505.65 H,0 BAR,0 °C,1922 Rpm,Off,Not,Not,Not,,2023-11-01 22:18:22
3447,-,-,100 %,18810.11 Km,100 %,41 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,013,0 %,0 °C,1505.66 H,0 BAR,0 °C,1730 Rpm,Off,Not,Not,Not,,2023-11-01 22:18:43
3448,-,-,100 %,18810.11 Km,1 %,27 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,012,0 %,0 °C,1505.66 H,0 BAR,0 °C,1378 Rpm,Off,Not,Not,Not,,2023-11-01 22:19:03
3449,-,-,100 %,18810.48 Km,0 %,3.2 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,0-2,0 %,0 °C,1505.66 H,0 BAR,0 °C,969 Rpm,Off,Not,Not,Not,,2023-11-01 22:19:22
3450,-,-,100 %,18810.49 Km,17 %,0 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,000,0 %,0 °C,1505.66 H,0 BAR,0 °C,1178 Rpm,Off,Not,Not,Not,,2023-11-01 22:19:42
3451,-,-,100 %,18810.49 Km,49 %,4 Km/h,1.48 Km/L,12734.5 L,82 %,28.3 VDC,004,0 %,0 °C,1505.66 H,0 BAR,0 °C,926 Rpm,Off,Not,Not,Not,,2023-11-01 22:20:02
3452,-,-,100 %,18810.5 Km,0 %,0 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,000,0 %,0 °C,1505.66 H,0 BAR,0 °C,1254 Rpm,On,Not,Not,Not,,2023-11-01 22:20:22
3453,-,-,100 %,18810.5 Km,41 %,17.5 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,000,0 %,0 °C,1505.66 H,0 BAR,0 °C,1290 Rpm,Off,Not,Not,Not,,2023-11-01 22:20:42
3454,-,-,100 %,18810.53 Km,0 %,34.2 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,013,0 %,0 °C,1505.66 H,0 BAR,0 °C,1432 Rpm,Off,Not,Not,Not,,2023-11-01 22:21:02
3455,-,-,100 %,18810.53 Km,0 %,49.9 Km/h,1.48 Km/L,12734.5 L,0 %,28.1 VDC,016,0 %,0 °C,1505.66 H,0 BAR,0 °C,1158 Rpm,Off,Not,Not,Not,,2023-11-01 22:21:22
3456,-,-,100 %,18810.53 Km,0 %,54.8 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,000,0 %,0 °C,1505.67 H,0 BAR,0 °C,1281 Rpm,On,Not,Not,Not,,2023-11-01 22:21:42
3457,-,-,100 %,18810.53 Km,0 %,40.2 Km/h,1.48 Km/L,12734.5 L,0 %,28.1 VDC,016,0 %,0 °C,1505.67 H,0 BAR,0 °C,939 Rpm,Off,Not,Not,Not,,2023-11-01 22:22:03
3458,-,-,100 %,18811.49 Km,30 %,12.6 Km/h,1.48 Km/L,12734.5 L,0 %,28.3 VDC,006,0 %,0 °C,1505.67 H,0 BAR,0 °C,1957 Rpm,Off,Not,Not,Not,,2023-11-01 22:22:23
3459,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:22:23
3460,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:22:43
3461,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 22:23:03
3462,-,-,100 %,18811.81 Km,35 %,6.9 Km/h,1.48 Km/L,12734.5 L,78.4 %,0 VDC,0-2,48 %,97 °C,1505.67 H,5.56 BAR,99.5 °C,2211 Rpm,Off,Not,Not,Not,9FFFD,2023-11-01 22:23:23
3463,-,-,100 %,18811.82 Km,11 %,0 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,000,0 %,0 °C,1505.68 H,0 BAR,0 °C,551 Rpm,Off,Not,Not,Not,,2023-11-01 22:23:43
3464,-,-,100 %,18811.82 Km,0 %,0 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,000,0 %,0 °C,1505.68 H,0 BAR,0 °C,550 Rpm,Off,Not,Not,Not,,2023-11-01 22:24:03
3465,-,-,100 %,18811.82 Km,0 %,0 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,004,0 %,0 °C,1505.68 H,0 BAR,0 °C,551 Rpm,Off,Not,Not,Not,,2023-11-01 22:24:23
3466,-,-,100 %,18811.82 Km,20 %,7.5 Km/h,1.48 Km/L,12734.5 L,0 %,28.3 VDC,004,0 %,0 °C,1505.68 H,0 BAR,0 °C,1671 Rpm,Off,Not,Not,Not,,2023-11-01 22:24:43
3467,-,-,100 %,18811.82 Km,0 %,23.1 Km/h,1.48 Km/L,12734.5 L,0 %,0 VDC,012,0 %,0 °C,1505.68 H,0 BAR,0 °C,1180 Rpm,Off,Not,Not,Not,,2023-11-01 22:25:02
3468,-,-,100 %,18812.08 Km,0 %,37.9 Km/h,1.48 Km/L,12735 L,78.8 %,28.3 VDC,012,44.8 %,97 °C,1505.69 H,5.12 BAR,99.9 °C,1523 Rpm,Off,Not,Not,Not,DFFF9,2023-11-01 22:25:23
